receiver_point_number,tx_number,rx_grid_number,csi_magnitude_dBm,csi_phase_rad,x_loc,y_loc,z_loc
1,20,1,-56.47099680160048,-0.530855,-6.2,-6,2.4
1,20,2,-56.47099680160048,-2.59505,-6.2,-6,2.4
1,20,3,-56.47099680160048,-2.18572,-6.2,-6,2.4
1,20,4,-56.47099680160048,1.89622,-6.2,-6,2.4
2,20,1,-56.47099680160048,-0.530855,-4.8,-4,1.8
2,20,2,-56.47099680160048,-2.59505,-4.8,-4,1.8
2,20,3,-56.47099680160048,-2.18572,-4.8,-4,1.8
2,20,4,-56.47099680160048,1.89622,-4.8,-4,1.8
3,20,1,-56.47099680160048,-2.83998,-3.2,-2,1.2
3,20,2,-56.47099680160048,0.797121,-3.2,-2,1.2
3,20,3,-56.47099680160048,-0.388869,-3.2,-2,1.2
3,20,4,-56.47099680160048,-2.75253,-3.2,-2,1.2
4,20,1,-56.47099680160048,-2.41575,-1.6,0,0.6
4,20,2,-56.47099680160048,1.12332,-1.6,0,0.6
4,20,3,-56.47099680160048,-0.114364,-1.6,0,0.6
4,20,4,-56.47099680160048,-2.79803,-1.6,0,0.6
5,20,1,-56.47099680160048,-1.05946,0,2,0.2
5,20,2,-56.47099680160048,2.68637,0,2,0.2
5,20,3,-56.47099680160048,0.517933,0,2,0.2
5,20,4,-56.47099680160048,-2.13994,0,2,0.2
6,20,1,-56.47099680160048,0.0608203,1.6,0,0.4
6,20,2,-56.47099680160048,-1.89816,1.6,0,0.4
6,20,3,-56.47099680160048,2.45403,1.6,0,0.4
6,20,4,-56.47099680160048,0.799343,1.6,0,0.4
7,20,1,-56.47099680160048,-0.0382548,3.2,-2,0.6
7,20,2,-56.47099680160048,-1.40613,3.2,-2,0.6
7,20,3,-56.47099680160048,-2.59156,3.2,-2,0.6
7,20,4,-56.47099680160048,-2.01874,3.2,-2,0.6
8,20,1,-56.47099680160048,1.43723,4.8,-4,0.8
8,20,2,-56.47099680160048,0.814594,4.8,-4,0.8
8,20,3,-56.47099680160048,1.9027,4.8,-4,0.8
8,20,4,-56.47099680160048,0.837521,4.8,-4,0.8
9,20,1,-56.47099680160048,-0.20448,6.4,-6,0.9
9,20,2,-56.47099680160048,0.406854,6.4,-6,0.9
9,20,3,-56.47099680160048,0.40225,6.4,-6,0.9
9,20,4,-56.47099680160048,-0.46783,6.4,-6,0.9
10,20,1,-56.47099680160048,0.820596,7.5,-7.5, 0.86
10,20,2,-56.47099680160048,0.801201,7.5,-7.5, 0.86
10,20,3,-56.47099680160048,1.32822,7.5,-7.5, 0.86
10,20,4,-56.47099680160048,0.619095,7.5,-7.5, 0.86
